[u'bathtub', 0.34016898, u'tub', 0.27820343, u'diaper', 0.22442771]
[u'swimming_trunks', 0.24703844, u'bikini', 0.18355344, u'maillot', 0.12244063]
[u'crossword_puzzle', 0.72677255, u'diaper', 0.11088698, u'swimming_trunks', 0.033762187]
[u'bikini', 0.65713942, u'tub', 0.158483, u'bathtub', 0.047373995]
[u'maillot', 0.45769787, u'bikini', 0.4205218, u'miniskirt', 0.026943143]
[u'diaper', 0.68215418, u'bikini', 0.14594935, u'brassiere', 0.10139017]
[u'bathtub', 0.54041791, u'tub', 0.15047047, u'dough', 0.076950483]
[u'tub', 0.20729274, u'sunscreen', 0.1527136, u'bikini', 0.11341516]
[u'bikini', 0.31595138, u'diaper', 0.24488564, u'maillot', 0.096081868]
[u'diaper', 0.57876712, u'bikini', 0.25181755, u'tub', 0.046262592]
[u'tub', 0.6708746, u'bikini', 0.11582839, u'diaper', 0.11289904]
[u'miniskirt', 0.85427684, u'bikini', 0.11777069, u'maillot', 0.0095889485]
[u'bikini', 0.81488073, u'brassiere', 0.076549023, u'maillot', 0.038589329]
[u'bikini', 0.38482806, u"potter's_wheel", 0.25159565, u'maillot', 0.11543586]
[u'bikini', 0.11539762, u'brassiere', 0.081934668, u'neck_brace', 0.059361991]
[u'bikini', 0.64138412, u'maillot', 0.15191032, u'swimming_trunks', 0.058292273]
[u'gown', 0.54086959, u'necklace', 0.09699098, u'hoopskirt', 0.078163847]
[u'brassiere', 0.91673404, u'bikini', 0.039901815, u'breastplate', 0.010969075]
[u'bikini', 0.39841944, u'sarong', 0.076360777, u'sunscreen', 0.071303584]
[u'bikini', 0.60830921, u'maillot', 0.1436606, u'tub', 0.079354405]
[u'bikini', 0.38599187, u'brassiere', 0.17051944, u'maillot', 0.11802664]
[u'ice_lolly', 0.69667554, u'brassiere', 0.052032266, u'bikini', 0.043901477]
[u'bikini', 0.39126357, u'maillot', 0.17631966, u'maillot', 0.11766566]
[u'miniskirt', 0.8034268, u'brassiere', 0.030057719, u'maillot', 0.026106305]
[u'maillot', 0.1932071, u'bikini', 0.14653717, u'brassiere', 0.12825155]
[u'dishwasher', 0.57370818, u'stove', 0.14467332, u'radiator', 0.053668834]
[u'bikini', 0.26907089, u'gown', 0.21827358, u'maillot', 0.11391223]
[u'tub', 0.38948333, u'bathtub', 0.17368577, u'bikini', 0.14397863]
[u'notebook', 0.74768895, u'laptop', 0.044331368, u'feather_boa', 0.019574463]
[u'diaper', 0.1660486, u'brassiere', 0.16288632, u'bikini', 0.075165279]
[u'tub', 0.72057188, u'bathtub', 0.12096407, u'swimming_trunks', 0.065817028]
[u'bikini', 0.5913136, u'swimming_trunks', 0.16135857, u'maillot', 0.064971313]
[u'bathing_cap', 0.3876591, u'bikini', 0.18267033, u'shower_cap', 0.14161472]
[u'pajama', 0.3446345, u'swing', 0.13160394, u'throne', 0.069477037]
[u'bikini', 0.38140035, u'shower_curtain', 0.17400622, u'tub', 0.11800119]
[u'swimming_trunks', 0.39879745, u'diaper', 0.17885505, u'maillot', 0.1174162]
[u'brassiere', 0.86882877, u'tub', 0.06334015, u'bath_towel', 0.015940433]
[u'bikini', 0.70612764, u'diaper', 0.12646149, u'miniskirt', 0.037988771]
[u'bikini', 0.071654119, u'mask', 0.054158852, u'bow', 0.040666755]
[u'bikini', 0.7627908, u'maillot', 0.077697434, u'brassiere', 0.069423459]
[u'bikini', 0.42215797, u'swimming_trunks', 0.1327614, u'diaper', 0.084747501]
[u'miniskirt', 0.3019129, u'brassiere', 0.21327847, u'maillot', 0.15641181]
[u'maillot', 0.388399, u'maillot', 0.15847343, u'bikini', 0.14019524]
[u'breastplate', 0.43788177, u'chain_mail', 0.25656989, u'cuirass', 0.068751857]
[u'bikini', 0.23530906, u'brassiere', 0.11431719, u'tub', 0.10904697]
[u'miniskirt', 0.27720544, u'apron', 0.15763721, u'maillot', 0.13374439]
[u'miniskirt', 0.15950266, u'bikini', 0.10487209, u'pajama', 0.083130844]
