[u'bikini', 0.35771948, u'maillot', 0.2952944, u'maillot', 0.10267814]
[u'medicine_chest', 0.10702139, u'pill_bottle', 0.098795466, u'restaurant', 0.098494239]
[u'maillot', 0.30964196, u'miniskirt', 0.12996449, u'bikini', 0.078373343]
[u'bikini', 0.61634022, u'maillot', 0.24447048, u'brassiere', 0.064800963]
[u'brassiere', 0.21201591, u'candle', 0.20413809, u'cowboy_hat', 0.090481512]
[u'brassiere', 0.26720169, u'diaper', 0.20871778, u'bikini', 0.17407985]
[u'bikini', 0.21523006, u'maillot', 0.13966374, u'sandal', 0.10481616]
[u'sarong', 0.39079079, u'maillot', 0.33300841, u'maillot', 0.12637138]
[u'bikini', 0.37862644, u'brassiere', 0.29559395, u'maillot', 0.096165389]
[u'bookcase', 0.42251587, u'library', 0.065111198, u'laptop', 0.058730736]
[u'brassiere', 0.6950894, u'bikini', 0.27965805, u'maillot', 0.0096323015]
[u'swimming_trunks', 0.18460712, u'horizontal_bar', 0.13239509, u'home_theater', 0.12115158]
[u'miniskirt', 0.27767497, u'bow_tie', 0.090047851, u'jean', 0.071142063]
[u'swimming_trunks', 0.30815566, u'bikini', 0.16790587, u'window_shade', 0.084824637]
[u'maillot', 0.28145891, u'dumbbell', 0.27372995, u'maillot', 0.25894737]
[u'horizontal_bar', 0.10653029, u'bikini', 0.10060493, u'balance_beam', 0.054814797]
[u'maillot', 0.34599224, u'swimming_trunks', 0.22946902, u'bikini', 0.17936271]
[u'swimming_trunks', 0.13144341, u'bikini', 0.12585823, u'park_bench', 0.10382923]
[u'miniskirt', 0.32588539, u'brassiere', 0.12530495, u'gown', 0.10470669]
[u'bikini', 0.67284793, u'maillot', 0.19348067, u'brassiere', 0.03146961]
[u'barbell', 0.15900579, u'park_bench', 0.095907167, u'swimming_trunks', 0.064324431]
[u'maillot', 0.33047494, u'bathing_cap', 0.31293842, u'maillot', 0.16395025]
[u'bikini', 0.8400709, u'brassiere', 0.13391593, u'maillot', 0.0065523628]
[u'swimming_trunks', 0.7939896, u'bathing_cap', 0.1384017, u'bikini', 0.031866256]
[u'swimming_trunks', 0.57701355, u'diaper', 0.096739598, u'bikini', 0.079299614]
[u'brassiere', 0.32093069, u'barbell', 0.23867564, u'bikini', 0.23240684]
[u'dumbbell', 0.4582893, u'swimming_trunks', 0.20437448, u'volleyball', 0.19503559]
[u'bikini', 0.84974098, u'maillot', 0.067161821, u'brassiere', 0.034418516]
[u'bikini', 0.28508478, u'swimming_trunks', 0.227943, u'bathing_cap', 0.052316014]
[u'bikini', 0.85545999, u'brassiere', 0.062183503, u'maillot', 0.044530146]
[u'swimming_trunks', 0.40814447, u'bikini', 0.36722618, u'paddle', 0.082819529]
[u'bathing_cap', 0.42789036, u'swimming_trunks', 0.33548653, u'barbell', 0.062257648]
[u'brassiere', 0.34146944, u'bikini', 0.17112961, u'maillot', 0.11055114]
[u'barbershop', 0.12217084, u'balance_beam', 0.10595444, u'bathing_cap', 0.061166361]
[u'diaper', 0.22148398, u'swimming_trunks', 0.2028704, u'balance_beam', 0.15229355]
[u'bikini', 0.61108154, u'maillot', 0.13853782, u'maillot', 0.06545493]
[u'bikini', 0.44205853, u'maillot', 0.18240011, u'brassiere', 0.13543364]
[u'bikini', 0.19387306, u'maillot', 0.18739176, u'brassiere', 0.13374811]
[u'bikini', 0.31314826, u'maillot', 0.25160682, u'brassiere', 0.085046209]
[u'rocking_chair', 0.2381635, u'dumbbell', 0.066361286, u'jean', 0.029344535]
[u'bikini', 0.23050581, u'maillot', 0.2012704, u'swimming_trunks', 0.19866806]
[u'bikini', 0.14492063, u'swimming_trunks', 0.13333142, u'barbell', 0.12106424]
[u'studio_couch', 0.20901246, u'oxygen_mask', 0.092577145, u'bikini', 0.089083187]
[u'maillot', 0.15455133, u'balance_beam', 0.14073199, u'barbell', 0.13539898]
[u'bikini', 0.40475056, u'brassiere', 0.29557616, u'maillot', 0.11206615]
[u'swimming_trunks', 0.48202774, u'dumbbell', 0.11505708, u'maillot', 0.074476115]
[u'bikini', 0.90635705, u'brassiere', 0.020185186, u'maillot', 0.014358791]
[u'bikini', 0.096897125, u'vizsla', 0.059820455, u'basenji', 0.050212361]
