[u'bikini', 0.38656363, u'brassiere', 0.13702799, u'tub', 0.10187367, u'maillot', 0.047772899, u'swimming_trunks', 0.040190965]
[u'swimming_trunks', 0.57394403, u'bikini', 0.23880048, u'bathing_cap', 0.057657596, u'diaper', 0.054788295, u'maillot', 0.012131025]
[u'diaper', 0.21029224, u'swimming_trunks', 0.18246911, u'tub', 0.081949756, u'sunscreen', 0.055622403, u'sarong', 0.044951037]
[u'swimming_trunks', 0.22709233, u'tub', 0.14025994, u'bikini', 0.11991968, u'hand_blower', 0.057567123, u'dumbbell', 0.053866569]
[u'sliding_door', 0.36270612, u'refrigerator', 0.1056528, u'brassiere', 0.060534094, u'pedestal', 0.05612259, u'radiator', 0.03987848]
[u'bikini', 0.40452787, u'maillot', 0.21680795, u'maillot', 0.093878336, u'swimming_trunks', 0.070272073, u'brassiere', 0.066308595]
[u'maillot', 0.31831953, u'maraca', 0.14512372, u'comic_book', 0.13106547, u'swimming_trunks', 0.060265712, u'brassiere', 0.048999041]
[u'comic_book', 0.13965745, u'web_site', 0.12525679, u'solar_dish', 0.072640479, u'radio_telescope', 0.069712453, u'table_lamp', 0.067001253]
[u'dishwasher', 0.40701845, u'bikini', 0.2687161, u'brassiere', 0.10466944, u'window_shade', 0.044553842, u'bannister', 0.03192801]
[u'bikini', 0.62103605, u'brassiere', 0.23651785, u'cash_machine', 0.052239031, u'maillot', 0.015988976, u'diaper', 0.015470453]
[u'miniskirt', 0.3802222, u'maillot', 0.29289338, u'brassiere', 0.081124619, u'bikini', 0.032466982, u'jean', 0.025755363]
[u'carousel', 0.53903615, u'comic_book', 0.16349226, u'pretzel', 0.084668994, u'slot', 0.041826062, u'altar', 0.024186393]
[u'cowboy_hat', 0.68084812, u'sombrero', 0.098798975, u'barbell', 0.061679229, u'dumbbell', 0.027366364, u'punching_bag', 0.012604763]
[u'stage', 0.27082297, u'racket', 0.23658212, u'bikini', 0.14305651, u'volleyball', 0.05415545, u'jellyfish', 0.047444977]
[u'swimming_trunks', 0.17384508, u'Weimaraner', 0.12682454, u'sunscreen', 0.10177788, u'whippet', 0.082433246, u'hen-of-the-woods', 0.052818995]
[u'bikini', 0.28866911, u'maillot', 0.15707409, u'swimming_trunks', 0.12895831, u'brassiere', 0.083653577, u'maillot', 0.051223677]
[u'parallel_bars', 0.68130088, u'horizontal_bar', 0.097951338, u'barbell', 0.052772995, u'pole', 0.03248826, u'swimming_trunks', 0.012780435]
[u'brassiere', 0.47558942, u'maillot', 0.16974927, u'bikini', 0.094976567, u'hoopskirt', 0.093723178, u'breastplate', 0.022901602]
[u'bikini', 0.31267431, u'hoopskirt', 0.21865062, u'brassiere', 0.11032487, u'throne', 0.078929886, u'breastplate', 0.046026092]
[u'studio_couch', 0.11048109, u'tub', 0.075515494, u'jean', 0.060038347, u'limousine', 0.028557677, u'neck_brace', 0.025641585]
[u'maillot', 0.5198338, u'brassiere', 0.29943067, u'miniskirt', 0.08506757, u'bikini', 0.042920131, u'maillot', 0.021013374]
[u'gondola', 0.44227749, u'jinrikisha', 0.20875497, u'convertible', 0.12416909, u'pickup', 0.018543074, u'canoe', 0.018130254]
[u'bikini', 0.52788466, u'maillot', 0.10596821, u'brassiere', 0.068221845, u'pole', 0.066206679, u'theater_curtain', 0.041466493]
[u'brassiere', 0.51769012, u'gown', 0.17160325, u'groom', 0.15225534, u'tub', 0.043880869, u'bikini', 0.031182559]
[u'diaper', 0.33965275, u"potter's_wheel", 0.23298441, u'miniskirt', 0.1052434, u'maillot', 0.055001609, u'bikini', 0.040181439]
[u'brassiere', 0.91460967, u'bikini', 0.021269692, u'bathing_cap', 0.013433292, u'shower_cap', 0.012799667, u'swimming_trunks', 0.0072957012]
[u'breastplate', 0.31239077, u'maillot', 0.16815437, u'miniskirt', 0.071318477, u'dumbbell', 0.040688474, u'ballplayer', 0.03517773]
[u'steel_drum', 0.27549821, u'gong', 0.13196556, u'spotlight', 0.099753812, u'solar_dish', 0.065991938, u'bathtub', 0.061192431]
[u'bikini', 0.15128212, u'ice_lolly', 0.13137677, u'plunger', 0.069933131, u'cowboy_hat', 0.062039621, u'tub', 0.041990541]
