[u'brassiere', 0.14563821, u'wig', 0.12727667, u'diaper', 0.08373075, u'corkscrew', 0.044745985, u'power_drill', 0.032026887]
[u'brassiere', 0.28315547, u'bathing_cap', 0.16710491, u'bikini', 0.15073968, u'maillot', 0.091012321, u'mask', 0.049592312]
[u'sarong', 0.52988201, u'bikini', 0.24001886, u'tub', 0.025052169, u'brassiere', 0.024309987, u'gown', 0.023002651]
[u'bikini', 0.79662842, u'maillot', 0.10111471, u'maillot', 0.027217513, u'brassiere', 0.020935586, u'sunglass', 0.0059296335]
[u'rock_beauty', 0.067781724, u'window_screen', 0.056437548, u'tennis_ball', 0.046211682, u'sliding_door', 0.041702997, u'academic_gown', 0.03037275]
[u'pole', 0.59060812, u'barbell', 0.27326232, u'horizontal_bar', 0.043926384, u'bow', 0.017618416, u'parallel_bars', 0.017324653]
[u'bikini', 0.14442836, u'gown', 0.095147334, u'tub', 0.074226581, u'brassiere', 0.048901923, u'maillot', 0.040234182]
[u'bikini', 0.18383911, u'comic_book', 0.064807892, u'brassiere', 0.044379376, u'quilt', 0.043702424, u'studio_couch', 0.041046467]
[u'swimming_trunks', 0.490073, u'diaper', 0.32772017, u'bikini', 0.044713773, u'tub', 0.043136645, u'bathtub', 0.03487673]
[u'bikini', 0.52571291, u'brassiere', 0.11411335, u'bathing_cap', 0.072118163, u'shower_cap', 0.036469456, u'tub', 0.034431648]
[u'oxygen_mask', 0.16798718, u'wig', 0.095723696, u'bikini', 0.050828971, u'gasmask', 0.044377133, u'soap_dispenser', 0.041591819]
[u'swimming_trunks', 0.21003167, u'water_buffalo', 0.1373122, u'hog', 0.092068091, u'ox', 0.072300576, u'ibex', 0.066177063]
[u'knot', 0.080043837, u'loudspeaker', 0.070112728, u'binder', 0.049221512, u'horizontal_bar', 0.04891181, u'ladle', 0.043411244]
[u'bikini', 0.8034668, u'maillot', 0.13789602, u'brassiere', 0.031361111, u'maillot', 0.022681685, u'tub', 0.0013284393]
[u'maillot', 0.25360367, u'brassiere', 0.16178493, u'maillot', 0.14135739, u'gown', 0.12772404, u'sarong', 0.12453933]
[u'bikini', 0.44019419, u'swimming_trunks', 0.30705371, u'maillot', 0.10154819, u'maillot', 0.062998734, u'bathing_cap', 0.05461276]
[u'brassiere', 0.5049569, u'bikini', 0.19212833, u'maillot', 0.12011555, u'gown', 0.054738715, u'maillot', 0.052278642]
[u'hog', 0.14331457, u'drumstick', 0.055306993, u'hatchet', 0.053525884, u'swimming_trunks', 0.053427279, u'prison', 0.047576271]
[u'bathing_cap', 0.79733306, u'tub', 0.10840073, u'bikini', 0.063121378, u'swimming_trunks', 0.0090185245, u'bathtub', 0.0053062746]
[u'brassiere', 0.56068921, u'bikini', 0.10907711, u'tub', 0.10079636, u'bathtub', 0.075731017, u'maillot', 0.034140084]
[u'crossword_puzzle', 0.27323493, u'comic_book', 0.24302644, u'maillot', 0.092790514, u'maillot', 0.071688943, u'bathing_cap', 0.042313337]
[u'bikini', 0.72178048, u'maillot', 0.17111497, u'brassiere', 0.055523235, u'maillot', 0.024777852, u'miniskirt', 0.01027249]
[u'maillot', 0.63151634, u'bikini', 0.28956109, u'brassiere', 0.042818338, u'maillot', 0.0091105876, u'swimming_trunks', 0.004321489]
[u'brassiere', 0.35908607, u'bikini', 0.19493161, u'maillot', 0.19409426, u'swimming_trunks', 0.06742955, u'maillot', 0.053874854]
[u'bikini', 0.12244836, u'brassiere', 0.096885324, u'scale', 0.069635361, u'tub', 0.06027611, u'swing', 0.054089542]
[u'bikini', 0.68210119, u'brassiere', 0.27520743, u'maillot', 0.0088253189, u'sarong', 0.0075739338, u'maillot', 0.0047574169]
[u'swimming_trunks', 0.83962804, u'bikini', 0.068182454, u'maillot', 0.039142054, u'maillot', 0.030495638, u'crossword_puzzle', 0.0054884371]
[u'bikini', 0.15692036, u'banded_gecko', 0.14703353, u'gyromitra', 0.07547126, u'comic_book', 0.05384285, u'hippopotamus', 0.053673439]
[u'stingray', 0.38057908, u'bikini', 0.18952444, u'diaper', 0.050989285, u'maillot', 0.044863898, u'butcher_shop', 0.031585373]
[u'swimming_trunks', 0.61158341, u'diaper', 0.10645306, u'bikini', 0.022887336, u'earthstar', 0.016875403, u'shower_cap', 0.014829608]
[u'bikini', 0.40425318, u'maillot', 0.2665031, u'maillot', 0.25668907, u'brassiere', 0.029809766, u'swimming_trunks', 0.010950524]
[u'hair_spray', 0.25853804, u'brassiere', 0.12254555, u'dumbbell', 0.096093021, u'punching_bag', 0.067626268, u'bathing_cap', 0.048902255]
[u'brassiere', 0.31753856, u'maillot', 0.080790259, u'sombrero', 0.062933467, u'bearskin', 0.044037517, u'cowboy_hat', 0.034364913]
[u'bikini', 0.67795187, u'brassiere', 0.23354723, u'maillot', 0.032728333, u'swimming_trunks', 0.01273583, u'maillot', 0.011735392]
[u'book_jacket', 0.3258197, u'doormat', 0.24110693, u'tobacco_shop', 0.032493349, u'scoreboard', 0.02691754, u'matchstick', 0.023883319]
[u'radiator', 0.25583547, u'space_heater', 0.16278122, u'mailbag', 0.094170839, u'loudspeaker', 0.072995231, u'window_screen', 0.024023641]
[u'bikini', 0.13754046, u'flute', 0.13280021, u'window_screen', 0.064765215, u'shower_curtain', 0.060445327, u'maillot', 0.051339682]
[u'Staffordshire_bullterrier', 0.50760972, u'American_Staffordshire_terrier', 0.17677447, u'whippet', 0.092584297, u'Great_Dane', 0.030580802, u'Mexican_hairless', 0.018450527]
[u'seat_belt', 0.065861665, u'car_mirror', 0.051922522, u'tub', 0.05126524, u'bathtub', 0.03728516, u'swing', 0.03374147]
[u'bikini', 0.24427074, u'brassiere', 0.19980918, u'maillot', 0.046574667, u'crate', 0.038251165, u'tub', 0.038087346]
[u'swimming_trunks', 0.25858268, u'bikini', 0.18376295, u'prison', 0.042802837, u'diaper', 0.041031022, u'brassiere', 0.037255283]
[u'bikini', 0.30208758, u'swimming_trunks', 0.24796587, u'tub', 0.11619267, u'bathtub', 0.089812078, u'maillot', 0.055242989]
[u'crossword_puzzle', 0.90082097, u'bikini', 0.039334722, u'comic_book', 0.021093832, u'maillot', 0.0096100708, u'maillot', 0.0055218898]
[u'bikini', 0.37844306, u'breastplate', 0.087668717, u'turnstile', 0.072153389, u'maillot', 0.067299969, u'brassiere', 0.047895536]
[u'maillot', 0.6599192, u'maillot', 0.26516905, u'balance_beam', 0.022096463, u'brassiere', 0.01782052, u'hoopskirt', 0.0062926165]
[u'bikini', 0.63377285, u'brassiere', 0.077000573, u'swimming_trunks', 0.050179303, u'earthstar', 0.045724299, u'maillot', 0.032654848]
[u'brassiere', 0.54046011, u'bikini', 0.42056409, u'maillot', 0.014051395, u'maillot', 0.008086863, u'tub', 0.0030966916]
[u'wig', 0.67839056, u'hair_spray', 0.10658408, u'miniskirt', 0.0349788, u'maillot', 0.02836059, u'bikini', 0.027492747]
[u'bikini', 0.16201887, u'brassiere', 0.12160313, u'maillot', 0.11127654, u'barber_chair', 0.094274685, u'table_lamp', 0.069870338]
[u"potter's_wheel", 0.2698274, u'maillot', 0.1553396, u'bikini', 0.14046577, u'candle', 0.061894033, u'tub', 0.025461905]
[u'kimono', 0.39007682, u'gown', 0.15222692, u'hair_slide', 0.054427572, u'overskirt', 0.047431521, u'shower_cap', 0.027093938]
[u'brassiere', 0.13909617, u'bikini', 0.10227577, u'miniskirt', 0.068015702, u'wig', 0.048087843, u'seat_belt', 0.046480495]
[u'quill', 0.37615341, u'conch', 0.10155895, u'panpipe', 0.040033497, u'pencil_sharpener', 0.017328892, u'shoji', 0.012764558]
[u'hair_slide', 0.45935747, u'wig', 0.1736616, u'hair_spray', 0.052554484, u'maillot', 0.032696709, u'bikini', 0.022822358]
[u'comic_book', 0.2284119, u'brassiere', 0.22122125, u'bikini', 0.21321946, u'maillot', 0.094228446, u'breastplate', 0.055696461]
[u'bikini', 0.89939535, u'brassiere', 0.034082886, u'maillot', 0.028133444, u'swimming_trunks', 0.0057639298, u'diaper', 0.0052660969]
[u'bikini', 0.36055166, u'maillot', 0.18150885, u'wig', 0.15660448, u'brassiere', 0.11305752, u'miniskirt', 0.059747133]
[u'balance_beam', 0.19067307, u'miniskirt', 0.17806616, u'bikini', 0.1204857, u'diaper', 0.09364868, u'maillot', 0.083270937]
[u'brassiere', 0.71549815, u'bikini', 0.105108, u'maillot', 0.031813398, u'maillot', 0.018174382, u'gown', 0.01266305]
[u'tile_roof', 0.78084272, u'hummingbird', 0.027290955, u'carton', 0.016151795, u'plane', 0.0099452771, u'sandal', 0.0095001729]
[u'wig', 0.72681916, u'brassiere', 0.086503133, u'maillot', 0.048480887, u'breastplate', 0.021902183, u'bikini', 0.019497992]
[u'bikini', 0.11952063, u'tub', 0.083233401, u'swimming_trunks', 0.076530047, u'bathtub', 0.057198714, u'ocarina', 0.046272188]
[u'maillot', 0.28802675, u'maillot', 0.19437394, u'brassiere', 0.19303998, u'bikini', 0.12005413, u'bathing_cap', 0.019601403]
[u'brassiere', 0.98609728, u'bikini', 0.0043741986, u'plunger', 0.0017053634, u'wooden_spoon', 0.0008595722, u'gown', 0.00085560972]
[u'comic_book', 0.38038659, u'mask', 0.12805626, u'abaya', 0.068180181, u'wig', 0.063866548, u'lipstick', 0.027534477]
[u'maillot', 0.47365242, u'maillot', 0.29261416, u'miniskirt', 0.056532502, u'bikini', 0.052439969, u'wig', 0.042542212]
[u'bikini', 0.47020596, u'crossword_puzzle', 0.1879815, u'swimming_trunks', 0.13769938, u'brassiere', 0.037863031, u'bathtub', 0.022664424]
[u'brassiere', 0.50828433, u'bikini', 0.29637077, u'maillot', 0.032428954, u'revolver', 0.030917464, u'breastplate', 0.014578382]
[u'swimming_trunks', 0.35558155, u'tub', 0.1537468, u'bathing_cap', 0.090032339, u'brassiere', 0.055789281, u'bathtub', 0.053002391]
[u'fur_coat', 0.17994633, u'wig', 0.10319828, u'kimono', 0.061124802, u'stole', 0.054297306, u'bonnet', 0.035870623]
[u'punching_bag', 0.30469421, u'plunger', 0.07350634, u'shovel', 0.06963557, u'pencil_sharpener', 0.055203967, u'barbell', 0.034299616]
[u'swimming_trunks', 0.33620086, u'brassiere', 0.10224711, u'comic_book', 0.098663375, u'bikini', 0.074122861, u'bathing_cap', 0.073600061]
[u'bikini', 0.17730303, u'hair_spray', 0.073351532, u'washbasin', 0.058531988, u'sunscreen', 0.057198592, u'bathing_cap', 0.052840807]
[u'tub', 0.30326772, u'bikini', 0.16927946, u'diaper', 0.16026552, u'brassiere', 0.12465195, u'bathtub', 0.082678929]
[u'king_crab', 0.42372835, u'rock_crab', 0.12987639, u'crayfish', 0.10217483, u'butcher_shop', 0.063285321, u'American_lobster', 0.04848218]
[u'diaper', 0.54183435, u'brassiere', 0.095393591, u'bikini', 0.073390238, u'swimming_trunks', 0.044518232, u'toyshop', 0.021817368]
