[u'breastplate', 0.51341671, u'brassiere', 0.050183658, u'fountain', 0.04949601, u'vase', 0.04739131, u'cuirass', 0.037746802]
[u'bikini', 0.49449888, u'swimming_trunks', 0.28081727, u'bathing_cap', 0.052227873, u'maillot', 0.038316511, u'maillot', 0.036632478]
[u'wig', 0.35446155, u'American_lobster', 0.10541221, u'hair_spray', 0.030298267, u'bow_tie', 0.020301623, u'syringe', 0.018641127]
[u'hotdog', 0.22746278, u'pretzel', 0.064996511, u'balance_beam', 0.062706873, u'butternut_squash', 0.058353439, u'teddy', 0.057510093]
[u'conch', 0.27495718, u'bikini', 0.16275641, u'hen-of-the-woods', 0.080369972, u'earthstar', 0.069449984, u'gyromitra', 0.053049192]
[u'maillot', 0.40445679, u'bikini', 0.27985513, u'maillot', 0.14580023, u'brassiere', 0.097325742, u'dumbbell', 0.016862864]
[u'comic_book', 0.16340101, u'bathing_cap', 0.098540075, u'grocery_store', 0.083111607, u'orange', 0.042104855, u'candle', 0.034485124]
[u'bikini', 0.43678591, u'stretcher', 0.12890856, u'swimming_trunks', 0.048370391, u'pedestal', 0.034571528, u'maillot', 0.031683225]
[u'neck_brace', 0.085530452, u'sandal', 0.082887299, u'muzzle', 0.038227897, u'oxygen_mask', 0.034033895, u'hen-of-the-woods', 0.02929168]
[u'balance_beam', 0.3252067, u'maillot', 0.044825032, u'shoe_shop', 0.035072919, u'triceratops', 0.029464686, u'stage', 0.02645874]
[u'tailed_frog', 0.10754074, u'tree_frog', 0.067181185, u'earthstar', 0.035176877, u'ear', 0.029804971, u'swimming_trunks', 0.02599119]
[u'bikini', 0.42295027, u'swimming_trunks', 0.14175087, u'canoe', 0.10873891, u'maillot', 0.083397903, u'sarong', 0.062859766]
[u'comic_book', 0.83811301, u'toyshop', 0.140154, u'book_jacket', 0.0028445527, u'totem_pole', 0.0025858989, u'slot', 0.0011206119]
[u'swimming_trunks', 0.57642782, u'bow', 0.097467013, u'bikini', 0.060626149, u'Labrador_retriever', 0.027194306, u'Great_Dane', 0.015566639]
[u'television', 0.16854341, u'breastplate', 0.042179778, u'prison', 0.040710155, u'home_theater', 0.034473047, u'bow', 0.026818808]
[u'bikini', 0.33486196, u'brassiere', 0.20234367, u'maillot', 0.042170733, u'tub', 0.029570451, u'parallel_bars', 0.02852688]
[u'rifle', 0.78186762, u'assault_rifle', 0.10392282, u'revolver', 0.039246947, u'space_bar', 0.0097819846, u'bikini', 0.007230124]
[u'sunglass', 0.15861973, u'brassiere', 0.14874253, u'bikini', 0.13687953, u'knee_pad', 0.085503265, u'maillot', 0.081355773]
[u'bathtub', 0.44289213, u'bikini', 0.17530702, u'candle', 0.06786254, u'tub', 0.055466287, u'maillot', 0.033648565]
[u'maillot', 0.22870807, u'breastplate', 0.22213958, u'cuirass', 0.10747942, u'fountain', 0.10648133, u'wig', 0.081340834]
[u'vault', 0.46470329, u'mosque', 0.13249804, u'prison', 0.1139842, u'monastery', 0.063240856, u'triumphal_arch', 0.045195468]
[u'swimming_trunks', 0.3652741, u'diaper', 0.083322205, u'butternut_squash', 0.063668035, u'bikini', 0.053931858, u'balance_beam', 0.038923718]
[u'brassiere', 0.47558942, u'maillot', 0.16974927, u'bikini', 0.094976567, u'hoopskirt', 0.093723178, u'breastplate', 0.022901602]
[u'miniskirt', 0.67122054, u'grand_piano', 0.054652311, u'stretcher', 0.040173113, u'tub', 0.021373648, u'upright', 0.019959828]
[u'comic_book', 0.98256898, u'book_jacket', 0.010697998, u'grocery_store', 0.0012753903, u'menu', 0.0011425919, u'web_site', 0.00078366214]
[u'maillot', 0.1713226, u'dumbbell', 0.10406429, u'horizontal_bar', 0.088635519, u'barbell', 0.080049023, u'swimming_trunks', 0.068913445]
[u'banjo', 0.59084934, u'accordion', 0.12509826, u'theater_curtain', 0.050178334, u'stage', 0.042765036, u'throne', 0.03238197]
[u'bikini', 0.29793379, u'brassiere', 0.12026081, u'maillot', 0.072051592, u'whippet', 0.055784963, u'Italian_greyhound', 0.048665188]
[u'green_mamba', 0.31995845, u'green_snake', 0.19260894, u'vine_snake', 0.15249282, u'neck_brace', 0.041102678, u'rock_python', 0.026201207]
[u'hen-of-the-woods', 0.10851943, u'triceratops', 0.069521882, u'ibex', 0.066158086, u'axolotl', 0.05028446, u'gazelle', 0.048266426]
[u'bikini', 0.65392607, u'brassiere', 0.072887786, u'maillot', 0.066880107, u'maillot', 0.056842208, u'paddle', 0.014431348]
[u'swimming_trunks', 0.49141994, u'jigsaw_puzzle', 0.12545958, u'gyromitra', 0.076735206, u'butcher_shop', 0.049798876, u'studio_couch', 0.020748474]
