[u'bikini', 0.42390081, u'miniskirt', 0.17784543, u'brassiere', 0.097479798, u'prison', 0.064755149, u'maillot', 0.045346368]
[u'maillot', 0.22889662, u'brassiere', 0.15228547, u'comic_book', 0.14613885, u'miniskirt', 0.1183307, u'maillot', 0.088327914]
[u'swimming_trunks', 0.41706306, u'bikini', 0.24869369, u'maillot', 0.048442233, u'miniskirt', 0.044470772, u'maillot', 0.02717814]
[u'bikini', 0.68919903, u'brassiere', 0.13064481, u'maillot', 0.081662782, u'maillot', 0.051529624, u'sandal', 0.022837581]
[u'bikini', 0.36005867, u'pole', 0.1079454, u'basketball', 0.062316619, u'swimming_trunks', 0.052090704, u'volleyball', 0.051079717]
[u'bikini', 0.30712336, u'hair_spray', 0.15123262, u'maillot', 0.11246759, u'brassiere', 0.084289305, u'maillot', 0.077478968]
[u'brassiere', 0.60923004, u'bikini', 0.17962563, u'maillot', 0.059917103, u'maillot', 0.054694448, u'pole', 0.019914329]
[u'bikini', 0.779015, u'maillot', 0.11770041, u'maillot', 0.07903479, u'brassiere', 0.01202625, u'comic_book', 0.0046448307]
[u'breastplate', 0.17343457, u'gown', 0.09957467, u'maillot', 0.071772128, u'comic_book', 0.060522981, u'brassiere', 0.053976014]
[u'brassiere', 0.20921637, u'sunscreen', 0.13834815, u'hair_spray', 0.077943236, u"potter's_wheel", 0.057690408, u'wig', 0.054003529]
[u'brassiere', 0.24210118, u'bikini', 0.24099156, u'miniskirt', 0.07720232, u'shower_cap', 0.045037773, u"potter's_wheel", 0.038106717]
[u'web_site', 0.25175375, u'carton', 0.082407102, u'abacus', 0.043975692, u'comic_book', 0.039867394, u'bubble', 0.03357818]
[u'bikini', 0.63673866, u'swimming_trunks', 0.13874288, u'maillot', 0.05753582, u'maillot', 0.057383861, u'brassiere', 0.029385664]
[u'swimming_trunks', 0.57383657, u'bathing_cap', 0.1894273, u'bikini', 0.07048963, u'brassiere', 0.037755143, u'maillot', 0.030823668]
[u'web_site', 0.65015841, u'comic_book', 0.22817962, u'crossword_puzzle', 0.029755961, u'menu', 0.0070695006, u'jean', 0.0060552666]
[u'studio_couch', 0.29011327, u'barber_chair', 0.20353022, u'barbershop', 0.087396376, u'comic_book', 0.042339824, u'cello', 0.023814719]
[u'comic_book', 0.82337356, u'book_jacket', 0.12301861, u'web_site', 0.039898586, u'chimpanzee', 0.0011311818, u'brass', 0.00099950098]
[u'bikini', 0.19846937, u'brassiere', 0.15193349, u'swimming_trunks', 0.067464843, u'diaper', 0.066040158, u'wardrobe', 0.06185643]
[u'overskirt', 0.18189795, u'barber_chair', 0.10407228, u'gown', 0.10371125, u'hoopskirt', 0.039529629, u'television', 0.039504964]
[u'comic_book', 0.63348734, u'bikini', 0.30020979, u'maillot', 0.023267154, u'maillot', 0.016061204, u'brassiere', 0.0026283322]
[u'comic_book', 0.30855083, u'bikini', 0.11972585, u'jean', 0.11080934, u'harmonica', 0.044225123, u'brassiere', 0.030706298]
[u'bikini', 0.76514882, u'maillot', 0.14076817, u'brassiere', 0.060805123, u'maillot', 0.014307109, u'swimming_trunks', 0.0072305747]
[u'swimming_trunks', 0.62879521, u'bikini', 0.1467994, u'bathing_cap', 0.055898234, u'maillot', 0.033530738, u'brassiere', 0.026421184]
[u'bikini', 0.91754496, u'brassiere', 0.022460341, u'groom', 0.018733611, u'maillot', 0.0057233707, u'maillot', 0.0046008006]
[u'bikini', 0.55586648, u'maillot', 0.17210926, u'brassiere', 0.055204716, u'maillot', 0.022315564, u'hair_spray', 0.018014727]
[u'bikini', 0.69279522, u'maillot', 0.097671144, u'maillot', 0.096649483, u'gown', 0.026906943, u'brassiere', 0.025659533]
[u'bikini', 0.87971383, u'maillot', 0.039184898, u'maillot', 0.014821271, u'gown', 0.011248867, u'brassiere', 0.0082865274]
[u'bikini', 0.61426926, u'comic_book', 0.24523611, u'brassiere', 0.0548186, u'web_site', 0.023572197, u'maillot', 0.014697013]
[u'bikini', 0.59134912, u'swimming_trunks', 0.33661103, u'brassiere', 0.022778751, u'sunscreen', 0.020989072, u'diaper', 0.011157028]
[u'sombrero', 0.10510089, u'brassiere', 0.10123723, u'breastplate', 0.070441447, u'miniskirt', 0.0633711, u'maillot', 0.039061874]
[u'iron', 0.3180654, u'suit', 0.077028416, u'Windsor_tie', 0.06683138, u'vacuum', 0.044673808, u'jean', 0.032325987]
[u'maillot', 0.50909132, u'bikini', 0.42515326, u'maillot', 0.03839729, u'comic_book', 0.023096528, u'brassiere', 0.0022862118]
[u'brassiere', 0.3644188, u'bikini', 0.35140693, u'maillot', 0.15930606, u'maillot', 0.049758367, u'diaper', 0.011253572]
[u'brassiere', 0.72405565, u'bikini', 0.19609955, u'comic_book', 0.032581646, u'sandal', 0.022443645, u'sunglass', 0.0044685607]
[u'comic_book', 0.92076737, u'cowboy_boot', 0.01334086, u'maillot', 0.0069053303, u'maillot', 0.0063334974, u'Band_Aid', 0.0051304656]
[u'bikini', 0.6948483, u'maillot', 0.11527726, u'swimming_trunks', 0.080169402, u'maillot', 0.04197659, u'snorkel', 0.029157529]
[u'brassiere', 0.79840308, u'maillot', 0.096358567, u'maillot', 0.029947812, u'gown', 0.023827752, u'cuirass', 0.015567361]
[u'bikini', 0.30265665, u'maillot', 0.28608045, u'web_site', 0.11508363, u'swimming_trunks', 0.096886106, u'maillot', 0.063119225]
[u'maillot', 0.5026291, u'maillot', 0.37284851, u'miniskirt', 0.10114386, u'bikini', 0.0059351739, u'brassiere', 0.0042014136]
[u'wig', 0.29277739, u'maillot', 0.2717177, u'brassiere', 0.1848744, u'bikini', 0.045377977, u'fur_coat', 0.032262832]
[u'comic_book', 0.99293023, u'Band_Aid', 0.0019789825, u'water_jug', 0.00065115123, u'handkerchief', 0.00051776058, u'coffee_mug', 0.00042714944]
[u'bikini', 0.26016703, u'tub', 0.21892034, u'swimming_trunks', 0.12856083, u'brassiere', 0.087031588, u'diaper', 0.083958484]
[u'bikini', 0.37442309, u'swimming_trunks', 0.2825833, u'bathing_cap', 0.21652387, u'brassiere', 0.018430162, u'cellular_telephone', 0.013150049]
