Term,TF,IDF,,TF-IDF
,,,,
Music,,,next,
turnstile,0.0040241449,2.3010299957,,0.0092596781
Petri_dish,0.0040241449,2.2479732664,,0.0090461701
oil_filter,0.0040241449,2.2227164712,,0.0089445331
feather_boa,0.0040241449,2.2121876044,,0.0089021634
sombrero,0.0040241449,2.2121876044,,0.0089021634
plow,0.0040241449,2.1673173348,,0.0087215989
drum,0.0040241449,2.1583624921,,0.0086855633
harmonica,0.0040241449,2.1583624921,,0.0086855633
marimba,0.0040241449,2.1583624921,,0.0086855633
academic_gown,0.0040241449,2.1492191127,,0.0086487691
mosquito_net,0.0040241449,2.1105897103,,0.0084933188
dining_table,0.0040241449,2.1003705451,,0.0084521954
grand_piano,0.0040241449,2.0934216852,,0.0084242321
kimono,0.0040241449,2.0755469614,,0.0083523017
plate_rack,0.0040241449,2.0492180227,,0.0082463502
microphone,0.0040241449,2.0374264979,,0.0081988994
seashore,0.0040241449,1.9867717343,,0.0079950573
bow_tie,0.0040241449,1.9084850189,,0.0076800202
pajama,0.0040241449,1.8976270913,,0.0076363263
groom,0.0040241449,1.8633228601,,0.0074982811
sarong,0.0040241449,1.8195439355,,0.0073221084
face_powder,0.0040241449,1.7923916895,,0.0072128438
gown,0.0040241449,1.7634279936,,0.0070962897
acorn_squash,0.0020120724,3.4923412533,,0.0070268436
Japanese_spaniel,0.0020120724,3.4923412533,,0.0070268436
kelpie,0.0020120724,3.4923412533,,0.0070268436
koala,0.0020120724,3.4923412533,,0.0070268436
ladybug,0.0020120724,3.4923412533,,0.0070268436
Scotch_terrier,0.0020120724,3.4923412533,,0.0070268436
bathing_cap,0.0040241449,1.69019608,,0.0068015939
basenji,0.0020120724,3.3161800989,,0.0066723946
dragonfly,0.0020120724,3.3161800989,,0.0066723946
hot_pot,0.0020120724,3.3161800989,,0.0066723946
police_van,0.0020120724,3.3161800989,,0.0066723946
spotted_salamander,0.0020120724,3.3161800989,,0.0066723946
wolf_spider,0.0020120724,3.3161800989,,0.0066723946
Bouvier_des_Flandres,0.0020120724,3.1911714557,,0.0064208681
frying_pan,0.0020120724,3.1911714557,,0.0064208681
lemon,0.0020120724,3.1911714557,,0.0064208681
shopping_cart,0.0020120724,3.1911714557,,0.0064208681
basset,0.0020120724,3.0941215958,,0.0062255968
chiffonier,0.0020120724,3.0941215958,,0.0062255968
flatworm,0.0020120724,3.0941215958,,0.0062255968
great_white_shark,0.0020120724,3.0941215958,,0.0062255968
Persian_cat,0.0020120724,3.0941215958,,0.0062255968
potpie,0.0020120724,3.0941215958,,0.0062255968
spaghetti_squash,0.0020120724,3.0941215958,,0.0062255968
tabby,0.0020120724,3.0941215958,,0.0062255968
miniskirt,0.0040241449,1.5440680444,,0.0062135535
binoculars,0.0020120724,3.0149403498,,0.0060662784
Chihuahua,0.0020120724,3.0149403498,,0.0060662784
Dutch_oven,0.0020120724,3.0149403498,,0.0060662784
tree_frog,0.0020120724,3.0149403498,,0.0060662784
wine_bottle,0.0040241449,1.5051499783,,0.0060569416
car_wheel,0.0020120724,2.9479236198,,0.0059314359
dishrag,0.0020120724,2.9479236198,,0.0059314359
pitcher,0.0020120724,2.9479236198,,0.0059314359
plane,0.0020120724,2.9479236198,,0.0059314359
pomegranate,0.0020120724,2.9479236198,,0.0059314359
sulphurcrested_cockatoo,0.0020120724,2.9479236198,,0.0059314359
toaster,0.0020120724,2.9479236198,,0.0059314359
wing,0.0020120724,2.9479236198,,0.0059314359
black_grouse,0.0020120724,2.8898617213,,0.0058146111
cock,0.0020120724,2.8898617213,,0.0058146111
dome,0.0020120724,2.8898617213,,0.0058146111
hare,0.0020120724,2.8898617213,,0.0058146111
measuring_cup,0.0020120724,2.8898617213,,0.0058146111
space_bar,0.0020120724,2.8898617213,,0.0058146111
teapot,0.0020120724,2.8898617213,,0.0058146111
artichoke,0.0020120724,2.8388490907,,0.00571197
barn_spider,0.0020120724,2.8388490907,,0.00571197
cowboy_boot,0.0020120724,2.8388490907,,0.00571197
minibus,0.0020120724,2.8388490907,,0.00571197
padlock,0.0020120724,2.8388490907,,0.00571197
revolver,0.0020120724,2.8388490907,,0.00571197
brassiere,0.0040241449,1.414973348,,0.0056940577
dial_telephone,0.0020120724,2.7930916002,,0.0056199026
holster,0.0020120724,2.7930916002,,0.0056199026
albatross,0.0020120724,2.751279104,,0.0055357728
barometer,0.0020120724,2.751279104,,0.0055357728
CD_player,0.0020120724,2.751279104,,0.0055357728
hummingbird,0.0020120724,2.751279104,,0.0055357728
bald_eagle,0.0020120724,2.7134905431,,0.0054597395
bobsled,0.0020120724,2.7134905431,,0.0054597395
car_mirror,0.0020120724,2.7134905431,,0.0054597395
hotdog,0.0020120724,2.7134905431,,0.0054597395
mouse,0.0020120724,2.7134905431,,0.0054597395
triumphal_arch,0.0020120724,2.7134905431,,0.0054597395
yurt,0.0020120724,2.7134905431,,0.0054597395
ashcan,0.0020120724,2.6794278966,,0.005391203
baseball,0.0020120724,2.6794278966,,0.005391203
borzoi,0.0020120724,2.6794278966,,0.005391203
broom,0.0020120724,2.6794278966,,0.005391203
passenger_car,0.0020120724,2.6794278966,,0.005391203
recreational_vehicle,0.0020120724,2.6794278966,,0.005391203
streetcar,0.0020120724,2.6794278966,,0.005391203
trombone,0.0020120724,2.6794278966,,0.005391203
vacuum,0.0020120724,2.6794278966,,0.005391203
apiary,0.0020120724,2.6464037262,,0.005324756
Egyptian_cat,0.0020120724,2.6464037262,,0.005324756
hatchet,0.0020120724,2.6170003411,,0.0052655942
pickup,0.0020120724,2.6170003411,,0.0052655942
radiator,0.0020120724,2.6170003411,,0.0052655942
shovel,0.0020120724,2.6170003411,,0.0052655942
jeep,0.0020120724,2.5888317256,,0.005208917
trailer_truck,0.0020120724,2.5888317256,,0.005208917
corn,0.0020120724,2.5622928645,,0.0051555188
electric_fan,0.0020120724,2.5622928645,,0.0051555188
espresso,0.0020120724,2.5622928645,,0.0051555188
letter_opener,0.0020120724,2.5622928645,,0.0051555188
paddle,0.0020120724,2.5622928645,,0.0051555188
Polaroid_camera,0.0020120724,2.5622928645,,0.0051555188
tape_player,0.0020120724,2.5622928645,,0.0051555188
washer,0.0020120724,2.5622928645,,0.0051555188
bloodhound,0.0020120724,2.5378190951,,0.0051062758
spatula,0.0020120724,2.5378190951,,0.0051062758
stove,0.0020120724,2.5378190951,,0.0051062758
tile_roof,0.0020120724,2.5378190951,,0.0051062758
velvet,0.0020120724,2.5378190951,,0.0051062758
espresso_maker,0.0020120724,2.5145477527,,0.0050594522
paper_towel,0.0020120724,2.5145477527,,0.0050594522
pillow,0.0020120724,2.5145477527,,0.0050594522
water_tower,0.0020120724,2.5145477527,,0.0050594522
caldron,0.0020120724,2.4913616938,,0.0050128002
shoji,0.0020120724,2.4913616938,,0.0050128002
entertainment_center,0.0020120724,2.469822016,,0.0049694608
rugby_ball,0.0020120724,2.469822016,,0.0049694608
hourglass,0.0020120724,2.4502491083,,0.0049300787
kite,0.0020120724,2.4502491083,,0.0049300787
rocking_chair,0.0020120724,2.4502491083,,0.0049300787
chain_mail,0.0020120724,2.4313637642,,0.00489208
golfcart,0.0020120724,2.4313637642,,0.00489208
limousine,0.0020120724,2.4313637642,,0.00489208
promontory,0.0020120724,2.4313637642,,0.00489208
stopwatch,0.0020120724,2.4313637642,,0.00489208
pretzel,0.0020120724,2.411619706,,0.0048523535
suspension_bridge,0.0020120724,2.411619706,,0.0048523535
bassoon,0.0020120724,2.3944516808,,0.0048178102
water_bottle,0.0020120724,2.378397901,,0.0047855089
accordion,0.0020120724,2.361727836,,0.0047519675
bannister,0.0020120724,2.361727836,,0.0047519675
sandbar,0.0020120724,2.361727836,,0.0047519675
upright,0.0020120724,2.361727836,,0.0047519675
sax,0.0020120724,2.3304137734,,0.0046889613
vase,0.0020120724,2.3010299957,,0.004629839
oboe,0.0020120724,2.2878017299,,0.0046032228
park_bench,0.0020120724,2.2741578493,,0.0045757703
gong,0.0020120724,2.260071388,,0.0045474273
violin,0.0020120724,2.260071388,,0.0045474273
barbell,0.0020120724,2.2479732664,,0.004523085
harp,0.0020120724,2.2121876044,,0.0044510817
magnetic_compass,0.0020120724,2.1903316982,,0.004407106
pedestal,0.0020120724,2.1903316982,,0.004407106
Mexican_hairless,0.0020120724,2.1492191127,,0.0043243845
jean,0.0020120724,2.1398790864,,0.0043055917
cleaver,0.0020120724,2.1205739312,,0.0042667484
worm_fence,0.0020120724,2.1003705451,,0.0042260977
punching_bag,0.0020120724,2.0934216852,,0.0042121161
quill,0.0020120724,2.0827853703,,0.004190715
geyser,0.0020120724,2.0293837777,,0.0040832672
military_uniform,0.0020120724,1.9867717343,,0.0039975286
barn,0.0020120724,1.9731278536,,0.0039700762
valley,0.0020120724,1.9344984512,,0.003892351
sunscreen,0.0020120724,1.8976270913,,0.0038181632
balance_beam,0.0020120724,1.8633228601,,0.0037491406
ibex,0.0020120724,1.806179974,,0.0036341649
lakeside,0.0020120724,1.7634279936,,0.0035481449
red_wine,0.0020120724,1.6434526765,,0.0033067458
bathtub,0.0020120724,1.5797835966,,0.003178639
tub,0.0020120724,1.531478917,,0.0030814465
diaper,0.0020120724,1.5185139399,,0.00305536
,,,,
Chat,,,next,
web_site,0.1714285714,0.6989700043,,0.1198234293
envelope,0.1163265306,1,,0.1163265306
book_jacket,0.1102040816,0.7781512504,,0.0857554439
