[u'library', 0.49510649, u'dining_table', 0.080940075, u'vault', 0.042051051, u'grand_piano', 0.040921789, u'stupa', 0.039315481]
[u'library', 0.19914412, u'bookshop', 0.11737722, u'dining_table', 0.071503393, u'bookcase', 0.042578481, u'desk', 0.023437694]
[u'sliding_door', 0.2304838, u'window_screen', 0.089739569, u'prison', 0.06951119, u'bookshop', 0.045625176, u'fire_screen', 0.045093086]
[u'bookshop', 0.067660421, u'library', 0.060745459, u'container_ship', 0.056744758, u'window_screen', 0.039325219, u'crossword_puzzle', 0.021703254]
[u'bloodhound', 0.067127265, u'Airedale', 0.034882322, u'suit', 0.030170217, u'German_shepherd', 0.028785465, u'English_foxhound', 0.024280151]
[u'carton', 0.13805114, u'bath_towel', 0.10232951, u'shower_curtain', 0.097485326, u'safe', 0.087888964, u'handkerchief', 0.034668259]
[u'German_shepherd', 0.084579758, u'bookshop', 0.056759391, u'caldron', 0.032564241, u'tobacco_shop', 0.027260387, u'window_screen', 0.024399424]
[u'library', 0.086488798, u'bookshop', 0.063931562, u'desk', 0.043697916, u'monitor', 0.031477384, u'window_screen', 0.020834319]
[u'window_screen', 0.037839174, u'geyser', 0.028230472, u'bookshop', 0.024326442, u'caldron', 0.021829717, u'prison', 0.02139983]
[u'shower_curtain', 0.36432302, u'carton', 0.15560718, u'desk', 0.034347598, u'washbasin', 0.028850779, u'bookshop', 0.019604649]
[u'container_ship', 0.04836423, u'wire-haired_fox_terrier', 0.020025803, u'Chihuahua', 0.015672218, u'crossword_puzzle', 0.01263786, u'German_shepherd', 0.012214027]
[u'Chihuahua', 0.030598648, u'crossword_puzzle', 0.023186088, u'papillon', 0.021592332, u'Pomeranian', 0.021556862, u'keeshond', 0.018696213]
[u'container_ship', 0.44026247, u'quilt', 0.021320889, u'crossword_puzzle', 0.017322581, u'beacon', 0.014487037, u'lab_coat', 0.012309354]
[u'carton', 0.23264016, u'library', 0.22264361, u'bookshop', 0.20860672, u'bookcase', 0.060699906, u'dining_table', 0.043510702]
[u'space_shuttle', 0.1526003, u'picket_fence', 0.046864394, u'suspension_bridge', 0.043111805, u'bell_cote', 0.04150999, u'torch', 0.034690503]
[u'monitor', 0.12133203, u'screen', 0.066281185, u'window_screen', 0.042354874, u'television', 0.040036477, u'home_theater', 0.02801886]
[u'window_screen', 0.1221347, u'window_shade', 0.048545446, u'shoji', 0.020184953, u'prison', 0.020016812, u'shower_curtain', 0.016145559]
[u'library', 0.27497607, u'shoji', 0.082969606, u'window_shade', 0.060523991, u'dining_table', 0.050750092, u'sliding_door', 0.048052289]
[u'window_screen', 0.0926264, u'sliding_door', 0.03878659, u'window_shade', 0.030351061, u'prison', 0.022711214, u'dining_table', 0.021271335]
[u'stupa', 0.05873441, u'jigsaw_puzzle', 0.052103389, u'maze', 0.039409332, u'library', 0.034283943, u'mortarboard', 0.029248081]
[u'bookshop', 0.16175541, u'library', 0.15710275, u'vault', 0.030980347, u'prison', 0.020528888, u'pedestal', 0.019004839]
[u'container_ship', 0.18146288, u'quilt', 0.15492262, u'Windsor_tie', 0.090343334, u'crossword_puzzle', 0.068792634, u'prayer_rug', 0.035203926]
[u'bookshop', 0.15726465, u'library', 0.14911488, u'bookcase', 0.039786492, u'dining_table', 0.038130142, u'window_screen', 0.021131627]
[u'window_screen', 0.052409984, u'dining_table', 0.045861483, u'fountain', 0.032258552, u'missile', 0.031774394, u'container_ship', 0.030061753]
[u'book_jacket', 0.075963564, u'prison', 0.056798991, u'digital_clock', 0.055710655, u'web_site', 0.047315679, u'scoreboard', 0.040607665]
[u'container_ship', 0.7489444, u'pool_table', 0.03322142, u'balloon', 0.018406354, u'crane', 0.013566261, u'digital_watch', 0.013197805]
[u'Windsor_tie', 0.033023901, u'digital_watch', 0.020544184, u'abaya', 0.019252909, u'shower_curtain', 0.017155489, u'microphone', 0.016271146]
[u'crane', 0.50885177, u'swab', 0.052857313, u'desk', 0.03137897, u'broom', 0.022797422, u'pier', 0.018673547]
[u'jigsaw_puzzle', 0.054425247, u'digital_watch', 0.054153278, u'digital_clock', 0.039699834, u'lampshade', 0.035380144, u'tray', 0.033412427]
[u'wool', 0.12299329, u'quilt', 0.11668694, u'prayer_rug', 0.064699344, u'shower_curtain', 0.052337989, u'Windsor_tie', 0.037884906]
[u'library', 0.053828657, u'fountain', 0.03564398, u'bookshop', 0.034744218, u'vault', 0.034436461, u'dining_table', 0.030958531]
[u'container_ship', 0.25210235, u'crane', 0.058354966, u'fireboat', 0.048481073, u'drilling_platform', 0.028981362, u'space_shuttle', 0.019203432]
[u'bookcase', 0.065611064, u'library', 0.065094456, u'sliding_door', 0.063117854, u'bookshop', 0.06024652, u'dining_table', 0.05585904]
[u'library', 0.12987095, u'bookshop', 0.052609202, u'container_ship', 0.031727739, u'quilt', 0.029844251, u'prayer_rug', 0.026722685]
