[u'groom', 0.264963, u'hoopskirt', 0.18445626, u'gown', 0.12946868, u'pajama', 0.058183946, u'overskirt', 0.048418906]
[u'diaper', 0.42426842, u'swimming_trunks', 0.13993636, u'bathtub', 0.11756368, u'tub', 0.084252387, u'bikini', 0.043682348]
[u'bath_towel', 0.34215072, u'hand_blower', 0.077931009, u'bathtub', 0.050974201, u'swimming_trunks', 0.048000503, u'maillot', 0.040813562]
[u'miniskirt', 0.33335072, u'jean', 0.07940875, u'balance_beam', 0.062395018, u'mosquito_net', 0.050006542, u'velvet', 0.039558787]
[u'miniskirt', 0.22550613, u'hoopskirt', 0.15508065, u'wig', 0.15326235, u'feather_boa', 0.074514456, u'overskirt', 0.065440536]
[u'bicycle-built-for-two', 0.27802739, u'stretcher', 0.11891611, u'mountain_bike', 0.11605202, u'moped', 0.062890634, u'tricycle', 0.042195279]
[u'jigsaw_puzzle', 0.095675536, u'stingray', 0.075288877, u'bow', 0.027665446, u'swimming_trunks', 0.022045754, u'leatherback_turtle', 0.015258275]
[u'bathtub', 0.38003293, u'tub', 0.23371387, u'miniskirt', 0.067076147, u'maillot', 0.059550986, u'washer', 0.044846322]
[u'hammer', 0.3766129, u'dumbbell', 0.11731983, u'power_drill', 0.051639654, u'hand_blower', 0.04551854, u'hatchet', 0.035789229]
[u'miniskirt', 0.23412691, u'spatula', 0.050266206, u'maillot', 0.041199476, u'hand_blower', 0.035295006, u'hair_spray', 0.034248918]
[u'bathtub', 0.70445269, u'tub', 0.25844532, u'diaper', 0.016282983, u'cradle', 0.0045669563, u'washbasin', 0.0036771877]
[u'bubble', 0.91515279, u'oxygen_mask', 0.053590871, u'nipple', 0.004900679, u'ice_lolly', 0.0027398972, u'beaker', 0.0026188553]
[u'miniskirt', 0.83203709, u'jean', 0.061070047, u'maillot', 0.0094647724, u'cowboy_boot', 0.0090261828, u'sunglasses', 0.0066672526]
[u'sleeping_bag', 0.55202746, u'stretcher', 0.028135, u'miniskirt', 0.015219379, u'giant_schnauzer', 0.013210411, u'French_bulldog', 0.012157455]
[u'miniskirt', 0.24512067, u'maillot', 0.1852535, u'maillot', 0.068300441, u'tub', 0.052818246, u'studio_couch', 0.04523848]
[u'swing', 0.094591305, u'rocking_chair', 0.091505855, u'teddy', 0.060964707, u'Christmas_stocking', 0.054592751, u'four-poster', 0.051766504]
[u'bathtub', 0.6717658, u'tub', 0.29386342, u'bath_towel', 0.0082867472, u'brassiere', 0.0044404054, u'bikini', 0.0032126412]
[u'miniskirt', 0.47701216, u'maillot', 0.13500582, u'maillot', 0.12548117, u'bikini', 0.068554059, u'rapeseed', 0.022710005]
[u'balance_beam', 0.13808841, u'hoopskirt', 0.064516105, u'gown', 0.049489077, u'mosquito_net', 0.036975224, u'lab_coat', 0.036050107]
