[u'Band_Aid', 0.46853828, u'ice_lolly', 0.13000073, u'lipstick', 0.078009322, u'nipple', 0.044954821, u'tick', 0.035578694]
[u'hog', 0.81545758, u'tub', 0.065007776, u'bathtub', 0.047055583, u'hippopotamus', 0.020463975, u'great_white_shark', 0.0097913528]
[u'thunder_snake', 0.37550569, u'ringneck_snake', 0.12570406, u'Band_Aid', 0.10988985, u'tick', 0.075894281, u'eft', 0.057130225]
[u'orange', 0.46402609, u'fig', 0.38669136, u'tick', 0.04530438, u'lemon', 0.034692172, u'butternut_squash', 0.031818178]
[u'diaper', 0.35641193, u'bikini', 0.14796346, u'bathtub', 0.11129124, u'tub', 0.05852434, u'maillot', 0.055549622]
[u'sunscreen', 0.095963106, u'Band_Aid', 0.092384294, u'sandal', 0.091565758, u'bonnet', 0.049702387, u'ice_lolly', 0.040158678]
[u'starfish', 0.91340786, u'sea_urchin', 0.036694426, u'conch', 0.011243983, u'earthstar', 0.0078846244, u'sunscreen', 0.0026864642]
[u'shower_cap', 0.18341517, u'tub', 0.10749444, u'plastic_bag', 0.10662994, u'bathtub', 0.08644475, u'butcher_shop', 0.065210737]
[u'wig', 0.076813072, u'fur_coat', 0.070970394, u'shower_curtain', 0.049662471, u'hand_blower', 0.032432429, u'sunscreen', 0.031014338]
[u'dough', 0.51768631, u'ice_cream', 0.11405001, u'bathtub', 0.047649421, u'tub', 0.039060559, u'butcher_shop', 0.026902802]
[u'diaper', 0.20145765, u'bikini', 0.096665695, u'tub', 0.085440867, u'swimming_trunks', 0.085382625, u'bathtub', 0.077425532]
[u'maillot', 0.18661608, u'miniskirt', 0.18616103, u'bikini', 0.13775714, u'tub', 0.12276023, u'pole', 0.061925095]
[u'dough', 0.26587549, u'tub', 0.16211002, u'bathtub', 0.13360201, u'starfish', 0.032717999, u'thunder_snake', 0.030990873]
[u'diaper', 0.21867858, u'bikini', 0.11504149, u'swimming_trunks', 0.078646399, u'sunscreen', 0.05833175, u'bath_towel', 0.049885392]
[u'nipple', 0.56098652, u'bubble', 0.097947896, u'piggy_bank', 0.087483905, u'diaper', 0.028635463, u'stethoscope', 0.020226756]
[u'sunscreen', 0.64168572, u'mask', 0.27363527, u'ocarina', 0.020631146, u'Band_Aid', 0.010417346, u'shower_cap', 0.0096161375]
[u'ice_lolly', 0.26219022, u'bathtub', 0.13070257, u'Band_Aid', 0.085540116, u'tub', 0.072021492, u'nipple', 0.045885358]
[u'bikini', 0.27603799, u'brassiere', 0.24237658, u'maillot', 0.2381476, u'diaper', 0.094933957, u'miniskirt', 0.027304107]
[u'sunscreen', 0.4561778, u'mask', 0.11876379, u'lipstick', 0.067651249, u'Band_Aid', 0.057930551, u'bathtub', 0.046139419]
[u'brassiere', 0.25876433, u'bikini', 0.24946117, u'bathtub', 0.092720859, u'maillot', 0.085399397, u'tub', 0.055658918]
[u'wig', 0.16829771, u'hair_spray', 0.052964672, u'abaya', 0.029992897, u'seat_belt', 0.028774088, u'lipstick', 0.02475737]
[u'sunscreen', 0.32011616, u'bikini', 0.24848235, u'swimming_trunks', 0.21628994, u'bathing_cap', 0.039514501, u'diaper', 0.038808618]
[u'bikini', 0.83667684, u'swimming_trunks', 0.027115542, u'diaper', 0.025373919, u'tub', 0.022090575, u'maillot', 0.020870283]
[u'lipstick', 0.44299367, u'lens_cap', 0.10943217, u'ice_lolly', 0.057775307, u'tick', 0.022590294, u'bubble', 0.022212595]
[u'bikini', 0.24447589, u'brassiere', 0.18561764, u'wig', 0.10173529, u'maillot', 0.08395832, u'gown', 0.055555072]
[u'bikini', 0.50832087, u'maillot', 0.21044283, u'diaper', 0.060857859, u'brassiere', 0.040936232, u'sunscreen', 0.033104192]
[u'conch', 0.49873066, u'chocolate_sauce', 0.06677749, u'ice_cream', 0.04846324, u'burrito', 0.036012001, u'pretzel', 0.028210642]
[u'brassiere', 0.45697591, u'bikini', 0.17511855, u'wig', 0.026514938, u'maillot', 0.026208179, u'feather_boa', 0.018611846]
[u'Band_Aid', 0.14174989, u'dough', 0.11622841, u'ice_lolly', 0.064763233, u'bell_pepper', 0.043826845, u'hotdog', 0.02276356]
[u'bikini', 0.65615356, u'maillot', 0.24084367, u'maillot', 0.060479786, u'brassiere', 0.025637124, u'sarong', 0.0036247158]
[u'sunscreen', 0.77812749, u'ice_lolly', 0.049403206, u'ocarina', 0.031565357, u'Band_Aid', 0.027606938, u'bathing_cap', 0.022850053]
[u'tick', 0.35649776, u'fig', 0.088353738, u'axolotl', 0.063454181, u'lipstick', 0.050558444, u'pomegranate', 0.037542459]
[u'hippopotamus', 0.22283813, u'bathtub', 0.20386058, u'stingray', 0.11894769, u'tick', 0.11893283, u'hog', 0.073142603]
[u'sunscreen', 0.16203828, u'wig', 0.13754731, u'tub', 0.065373078, u'mask', 0.051844113, u'fur_coat', 0.050767638]
[u'syringe', 0.20621361, u'paintbrush', 0.078865081, u'lipstick', 0.075004391, u'pop_bottle', 0.05229922, u'snorkel', 0.048660681]
[u'mask', 0.070491016, u'sunglasses', 0.055409007, u'sunglass', 0.054532804, u'Band_Aid', 0.040234517, u'conch', 0.029147662]
[u'maillot', 0.35737813, u'bikini', 0.2375823, u'maillot', 0.053806268, u'miniskirt', 0.031887624, u'pole', 0.031357739]
[u'sunscreen', 0.24051411, u'tub', 0.11314351, u'bathtub', 0.085816532, u'swimming_trunks', 0.04805775, u'bathing_cap', 0.036748596]
[u'bathtub', 0.50916594, u'tub', 0.25618052, u'ice_lolly', 0.12333161, u'Band_Aid', 0.038869422, u'lipstick', 0.03777492]
[u'crib', 0.6044215, u'diaper', 0.218494, u'cradle', 0.13100785, u'bassinet', 0.027719274, u'bonnet', 0.0043265191]
[u'tub', 0.25578573, u'bathtub', 0.24493288, u'Band_Aid', 0.052928738, u'sunscreen', 0.032099966, u"potter's_wheel", 0.029320456]
[u'bikini', 0.42007956, u'sarong', 0.16829813, u'swimming_trunks', 0.10863698, u'maillot', 0.08335422, u'brassiere', 0.046308517]
[u'diaper', 0.5252766, u'Band_Aid', 0.039856747, u'bikini', 0.038254939, u'maillot', 0.031550743, u'tub', 0.029788857]
[u'measuring_cup', 0.52668613, u'Petri_dish', 0.063824847, u'ice_cream', 0.060147692, u'water_jug', 0.042460922, u'oxygen_mask', 0.037975866]
[u'hog', 0.30701354, u'conch', 0.22748977, u'sunscreen', 0.056750402, u'handkerchief', 0.026927637, u'bathtub', 0.026577435]
[u"potter's_wheel", 0.68126035, u'butcher_shop', 0.26443398, u'dough', 0.014488065, u'Crock_Pot', 0.0057698227, u'tub', 0.0054977699]
[u'diaper', 0.31571373, u'brassiere', 0.16406167, u'bath_towel', 0.10021517, u'maillot', 0.085060596, u'bikini', 0.068411499]
[u'maillot', 0.20332672, u'bikini', 0.15621313, u'brassiere', 0.15373981, u'miniskirt', 0.076443665, u'tub', 0.050652631]
[u'ice_lolly', 0.20725836, u'Band_Aid', 0.094886713, u'bath_towel', 0.091913603, u'lipstick', 0.067778535, u'bathtub', 0.048527978]
[u'dough', 0.34712934, u'ice_cream', 0.17811538, u'butcher_shop', 0.079629719, u'head_cabbage', 0.056799542, u"potter's_wheel", 0.032814793]
[u'dough', 0.097742073, u'orange', 0.080683827, u'flamingo', 0.059342902, u'fig', 0.050750036, u'bathtub', 0.040765129]
[u'diaper', 0.2108613, u'swimming_trunks', 0.10495984, u'sunscreen', 0.10140805, u'bikini', 0.069808692, u'balance_beam', 0.0501027]
[u'Band_Aid', 0.17460297, u'sunscreen', 0.16841184, u'lipstick', 0.16371784, u'ice_lolly', 0.11703423, u'bathtub', 0.073440067]
[u'lipstick', 0.45326242, u'ice_lolly', 0.14347336, u'dough', 0.055454243, u'ice_cream', 0.040702682, u'matchstick', 0.040047005]
[u'Band_Aid', 0.16252437, u'lipstick', 0.046638053, u'nipple', 0.035987783, u'diaper', 0.035819627, u'bath_towel', 0.032678995]
[u'wig', 0.17750573, u'bikini', 0.12983085, u'brassiere', 0.11208062, u'maillot', 0.10277565, u'tub', 0.047707457]
[u'tub', 0.39296186, u'bathtub', 0.30618557, u'bath_towel', 0.091724358, u'diaper', 0.063682526, u'sunscreen', 0.021154605]
[u'bathtub', 0.39466646, u'tub', 0.3875781, u"potter's_wheel", 0.055673108, u'hog', 0.030768314, u'dough', 0.029619694]
[u'diaper', 0.46427813, u'Band_Aid', 0.17710359, u'bath_towel', 0.054669216, u'bathtub', 0.052337594, u'tub', 0.049005866]
[u'bikini', 0.29966587, u'bathtub', 0.26971638, u'tub', 0.17813043, u'swimming_trunks', 0.082979478, u'sunscreen', 0.033921488]
[u'dough', 0.34956622, u'tub', 0.23463194, u'bathtub', 0.15077904, u"potter's_wheel", 0.031561691, u'butcher_shop', 0.02658326]
[u'bathtub', 0.33470118, u'tub', 0.29824921, u'bikini', 0.10754874, u'brassiere', 0.053378366, u'maillot', 0.035083558]
[u'bikini', 0.28114972, u'tub', 0.21593738, u'bathtub', 0.13680024, u'maillot', 0.10760999, u'brassiere', 0.025813321]
[u'diaper', 0.20492932, u'bikini', 0.097471058, u'bathtub', 0.082414918, u'tub', 0.080667362, u'maillot', 0.073301308]
[u'piggy_bank', 0.268852, u'Band_Aid', 0.13617793, u'lotion', 0.069649063, u'sunscreen', 0.065630063, u'bikini', 0.059820943]
[u'miniature_pinscher', 0.16750954, u'ringneck_snake', 0.069524392, u'king_snake', 0.036017481, u'Band_Aid', 0.034063235, u'leatherback_turtle', 0.031132579]
[u'tub', 0.40569064, u'bathtub', 0.20328851, u'brassiere', 0.12159095, u'maillot', 0.071729764, u'bikini', 0.037502702]
[u'shower_cap', 0.33336735, u'paper_towel', 0.14881381, u'sunscreen', 0.065897644, u'bagel', 0.042352881, u'bathtub', 0.033473384]
