[u'boa_constrictor', 0.048552856, u'brassiere', 0.048339359, u'bikini', 0.039718755, u'ice_cream', 0.028775739, u'hog', 0.025880611]
[u'tub', 0.56798267, u'bathtub', 0.12432264, u'brassiere', 0.086895369, u'butcher_shop', 0.025680492, u'miniskirt', 0.025646864]
[u'diaper', 0.45912024, u'bikini', 0.070589699, u'swimming_trunks', 0.055286039, u'brassiere', 0.051608779, u'piggy_bank', 0.033050321]
[u'maillot', 0.26623037, u'maillot', 0.18467708, u'brassiere', 0.11434068, u'bikini', 0.10953072, u'tub', 0.10914711]
[u'swimming_trunks', 0.15055175, u'hand_blower', 0.12372021, u'diaper', 0.11389859, u'sunscreen', 0.079234444, u'dumbbell', 0.057078704]
[u'hoopskirt', 0.2474657, u'gown', 0.13045584, u'maillot', 0.060066678, u'miniskirt', 0.036546245, u'brassiere', 0.028258679]
[u'bikini', 0.33825338, u'maillot', 0.14032486, u'brassiere', 0.093083844, u'maillot', 0.08820156, u'tub', 0.063677512]
[u'doormat', 0.67373818, u'book_jacket', 0.092431486, u'tennis_ball', 0.0385019, u'racket', 0.012158321, u'envelope', 0.011461365]
[u'racket', 0.10007901, u'bow', 0.044353053, u'hook', 0.033874296, u'wall_clock', 0.027048146, u'unicycle', 0.026264386]
[u'sunscreen', 0.16409311, u'ice_lolly', 0.091769122, u'hair_spray', 0.089554638, u'bikini', 0.05491126, u'lipstick', 0.051694717]
[u'American_egret', 0.016859816, u'nail', 0.012955416, u'window_screen', 0.0096255895, u'syringe', 0.0090219099, u'lens_cap', 0.0083186915]
[u'whippet', 0.53138465, u'triceratops', 0.1151372, u'Great_Dane', 0.056278989, u'timber_wolf', 0.051395696, u'Staffordshire_bullterrier', 0.040979538]
[u'stingray', 0.12822574, u'cowboy_hat', 0.069476187, u'tub', 0.060942523, u'Irish_setter', 0.058264587, u'bonnet', 0.05004726]
[u'oscilloscope', 0.1202198, u'pier', 0.082804017, u'window_shade', 0.039710406, u'bannister', 0.037233409, u'digital_clock', 0.031133125]
[u'brassiere', 0.23176479, u'bikini', 0.075822778, u'dumbbell', 0.070767432, u'swimming_trunks', 0.058331266, u'piggy_bank', 0.03206123]
[u'brassiere', 0.15862213, u'bikini', 0.084801093, u'swimming_trunks', 0.078755088, u'diaper', 0.068953022, u'ping-pong_ball', 0.054068867]
[u'bathtub', 0.15910113, u'bathing_cap', 0.11684664, u'tub', 0.10536632, u'brassiere', 0.075317144, u'bikini', 0.071240045]
[u'maillot', 0.19344527, u'maillot', 0.17862342, u'dumbbell', 0.10611051, u'miniskirt', 0.10316008, u'bathing_cap', 0.044482734]
[u'pole', 0.15449126, u'maillot', 0.093409121, u'dishwasher', 0.052724112, u'bikini', 0.051045384, u'maillot', 0.035883129]
[u'maillot', 0.41974252, u'maillot', 0.2822682, u'bikini', 0.12001089, u'balance_beam', 0.073442951, u'brassiere', 0.035033077]
[u'swimming_trunks', 0.34080765, u'bikini', 0.33785599, u'diaper', 0.18177794, u'maillot', 0.023876958, u'tub', 0.01995592]
[u'American_egret', 0.084955201, u'spoonbill', 0.017588543, u'redshank', 0.011907185, u'crane', 0.011743685, u'little_blue_heron', 0.01170431]
[u'bikini', 0.37726209, u'maillot', 0.26418418, u'tub', 0.17457128, u'maillot', 0.060324758, u'brassiere', 0.041673906]
[u'wig', 0.91639256, u'maillot', 0.021927815, u'hair_spray', 0.013737304, u'bikini', 0.0071833734, u'gown', 0.007094074]
[u'lotion', 0.11649395, u"potter's_wheel", 0.098160774, u'sunscreen', 0.040833052, u'hand_blower', 0.031607911, u'bikini', 0.030641967]
[u'book_jacket', 0.62076765, u'comic_book', 0.054588519, u'hair_spray', 0.048914962, u'bathtub', 0.04663045, u'wig', 0.027743747]
[u'mask', 0.23702027, u'umbrella', 0.19093852, u'bikini', 0.079556242, u'feather_boa', 0.04042263, u'cloak', 0.034604568]
[u'wig', 0.25896314, u'hair_spray', 0.1467755, u'hand_blower', 0.071782924, u'maillot', 0.063973226, u'miniskirt', 0.058320466]
[u'bikini', 0.088258266, u'brassiere', 0.075916171, u'maillot', 0.062825717, u'sarong', 0.036460586, u'Band_Aid', 0.030893452]
[u'wig', 0.2940096, u'hair_spray', 0.19354796, u'hair_slide', 0.12498827, u'hand_blower', 0.083069555, u'bikini', 0.025163759]
[u'sunscreen', 0.1385489, u'brassiere', 0.10642442, u'crossword_puzzle', 0.04581308, u'neck_brace', 0.039953601, u'maillot', 0.037998382]
[u'swimming_trunks', 0.48463094, u'cowboy_hat', 0.13226438, u'sombrero', 0.055487141, u'bathing_cap', 0.037962995, u'bikini', 0.026381299]
[u'maillot', 0.2857751, u'brassiere', 0.15531649, u'bikini', 0.12904599, u'miniskirt', 0.083484985, u'maillot', 0.077022858]
[u'diaper', 0.23683774, u'bikini', 0.15685073, u'maillot', 0.098504543, u'maillot', 0.088108376, u'swimming_trunks', 0.044620909]
[u'bikini', 0.29444668, u'brassiere', 0.28033856, u'tub', 0.086080045, u'maillot', 0.069027498, u'bathtub', 0.063603185]
[u'maillot', 0.24124917, u'tile_roof', 0.12913033, u'bikini', 0.12330671, u'miniskirt', 0.066412076, u'sandal', 0.061228316]
[u'wig', 0.31918401, u'bonnet', 0.19741622, u'bikini', 0.071445502, u'brassiere', 0.052158255, u'maillot', 0.039756346]
[u'scale', 0.13424221, u'iron', 0.12171379, u'sewing_machine', 0.12152648, u'electric_fan', 0.038905852, u'maillot', 0.032377541]
[u'maillot', 0.35489225, u'brassiere', 0.26230678, u'maillot', 0.14570335, u'bikini', 0.13352434, u'miniskirt', 0.014827634]
[u'brassiere', 0.37567708, u'plunger', 0.073988043, u'maillot', 0.060308091, u'bikini', 0.055787887, u'barbell', 0.049543735]
[u'wig', 0.11250623, u'dishwasher', 0.067605525, u'book_jacket', 0.051723626, u'hand_blower', 0.050610449, u'hair_spray', 0.040038243]
[u'maillot', 0.39285031, u'miniskirt', 0.14296034, u'gown', 0.12129011, u'maillot', 0.094832256, u'wig', 0.055380464]
[u'toilet_seat', 0.27617145, u'cowboy_hat', 0.090226293, u'scale', 0.084768973, u'washer', 0.072750069, u'sunscreen', 0.05349255]
[u'motor_scooter', 0.1510341, u'cowboy_hat', 0.1338065, u'tank', 0.1092773, u'half_track', 0.067449428, u'breastplate', 0.01820579]
