[u'shower_curtain', 0.040891722, u'wall_clock', 0.039834224, u'medicine_chest', 0.030518824, u'lampshade', 0.029540436, u'toilet_seat', 0.025801057]
[u'stretcher', 0.99568284, u'bow', 0.00099687092, u'rifle', 0.00067805673, u'rotisserie', 0.00057090697, u'assault_rifle', 0.00029649405]
[u'container_ship', 0.16107076, u'planetarium', 0.02940491, u'toilet_seat', 0.027823806, u'library', 0.025865044, u'water_tower', 0.025088945]
[u'traffic_light', 0.29769081, u'maze', 0.16425364, u'scoreboard', 0.052492008, u'flagpole', 0.052297562, u'prayer_rug', 0.048788521]
[u'spotlight', 0.13071023, u'stage', 0.086373672, u'torch', 0.082472347, u'fountain', 0.074573562, u'balloon', 0.057321727]
[u'sliding_door', 0.061617345, u'window_shade', 0.032576989, u'vault', 0.022623191, u'dining_table', 0.021657536, u'turnstile', 0.021470487]
[u'traffic_light', 0.060804695, u'window_shade', 0.053096563, u'street_sign', 0.043793406, u'airship', 0.031723283, u'cash_machine', 0.02924617]
[u'wall_clock', 0.05915761, u'window_shade', 0.053051654, u'bannister', 0.047831077, u'washbasin', 0.042254053, u'window_screen', 0.031162931]
[u'library', 0.21242741, u'maze', 0.045918245, u'vault', 0.037104763, u'bannister', 0.031045757, u'bookshop', 0.029050615]
[u'Christmas_stocking', 0.075290039, u'window_screen', 0.065414242, u'space_shuttle', 0.049705908, u'cash_machine', 0.04483109, u'traffic_light', 0.034263156]
[u'container_ship', 0.46268517, u'balloon', 0.025046645, u'flagpole', 0.023201624, u'library', 0.022184342, u'airship', 0.020199679]
[u'window_screen', 0.063209131, u'window_shade', 0.037904002, u'traffic_light', 0.030221129, u'sliding_door', 0.019686412, u'library', 0.018923376]
[u'sliding_door', 0.079455592, u'library', 0.063147686, u'cash_machine', 0.049238693, u'medicine_chest', 0.048807874, u'tobacco_shop', 0.04461037]
[u'container_ship', 0.067084074, u'library', 0.039691623, u'sock', 0.021254556, u'tobacco_shop', 0.01953065, u'jigsaw_puzzle', 0.01876599]
[u'matchstick', 0.076208062, u'nematode', 0.04769811, u'lighter', 0.030722424, u'digital_clock', 0.029044192, u'spotlight', 0.023671744]
[u'toilet_seat', 0.25256759, u'candle', 0.041949086, u'container_ship', 0.036832344, u'bathtub', 0.021965532, u'shower_curtain', 0.020913383]
